"id","r","g","b","centroid_id"
"1","191","172","171","1"
"2","59","19","28","2"
"3","29","37","59","2"
"4","43","48","68","2"
"5","30","8","13","2"
"6","115","121","127","4"
"7","166","211","202","1"
"8","178","231","217","1"
"9","98","82","100","3"
"10","131","170","138","4"
"11","215","203","188","1"
"12","149","194","158","1"
"13","164","212","187","1"
"14","187","205","176","1"
"15","49","14","22","2"
"16","171","146","151","4"
"17","88","66","93","3"
"18","89","116","94","3"
"19","90","41","65","3"
"20","160","131","133","4"
"21","116","151","127","4"
"22","181","232","219","1"
"23","41","12","19","2"
"24","114","72","80","3"
"25","132","95","124","4"
"26","63","63","84","3"
"27","164","137","147","4"
"28","23","6","10","2"
"29","213","220","199","1"
"30","174","217","197","1"
"31","184","227","211","1"
"32","133","97","125","4"
"33","99","53","78","3"
"34","199","216","193","1"
"35","183","224","206","1"
"36","0","0","0","2"
"37","180","222","203","1"
"38","55","16","25","2"
"39","149","117","113","4"
"40","160","132","154","4"
"41","185","214","210","1"
"42","187","166","158","4"
"43","164","213","188","1"
"44","62","47","72","3"
"45","128","128","128","4"
"46","223","225","207","1"
"47","183","161","178","1"
"48","105","60","95","3"
"49","51","15","24","2"
"50","82","106","103","3"
"51","102","128","134","4"
"52","138","103","105","4"
"53","134","123","141","4"
"54","129","135","146","4"
"55","67","49","77","3"
"56","92","77","101","3"
"57","76","22","35","2"
"58","64","38","60","2"
"59","104","135","139","4"
"60","101","55","87","3"
"61","187","220","199","1"
"62","204","236","225","1"
"63","165","148","148","4"
"64","157","137","156","4"
"65","63","66","86","3"
"66","255","255","255","1"
"67","225","216","194","1"
"68","163","135","127","4"
